cAUSSENTEMP OutdoorTemperature
cSTUNDE	Hour
cMINUTE	Minute
cSPEICHERISTTEMP	BufferTemperatureActual
cVERSTELLTE_SPEICHERSOLLTEMP	BufferTemperatureSetpointAdjusted
cEINSTELL_SPEICHERSOLLTEMP	BufferTemperatureSetpoint
cWW_AKTIV	HotWaterProductionActive
cRAUMISTTEMP	RoomTemperatureActual
cVERSTELLTE_RAUMSOLLTEMP	RoomTemperatureSetpointAdjusted
cRAUMSOLLTEMP_I	RoomTemperatureSetpoint
cKESSELISTTEMP	HeaterTemperatureActual
cKESSELSOLLTEMP	HeaterTemperatureSetpoint
cRUECKLAUFTEMP	TR
cVOLUMENSTROM	V
cPWM_SIGNAL	n
cMISCHERSTELLUNG_1_3UV1 ValveCH_DHW
cMISCHERSTELLUNG_2_3UVB	ValveCH_Bypass
cT_TVBH1	TVBH1
cT_TVBHMIX	TVBHMIX
cT_TVBH	TVBH
cDEFROST_AKTIV	Defrost   
cPUMPENLAUFZEIT	PumpOperatingHours
cKOMPRESSORLAUFZEIT CompressorOperatingHours
eHZKKURVE	WeatherDependentCurveSetting
eVORLAUFSOLLTEMP	LeavingWaterTemperatureSetpoint
eVORLAUFISTTEMP	LeavingWaterTemperatureActual
